 eid |                           title                            |                          description                           |     start_time      |      end_time       | rsvp_count 
  53 | Math Workshop: Algebra Basics                              | Learn fundamental algebra concepts.                            | 2024-07-10 15:00:00 | 2024-07-10 17:00:00 |         15
  32 | Music Club Annual Showcase                                 | Showcase performances by club members.                         | 2024-07-27 18:00:00 | 2024-07-27 22:00:00 |         15
 105 | Fitness Club Zumba Party                                   | Dance and exercise with high-energy Zumba routines.            | 2024-07-30 19:00:00 | 2024-07-30 21:00:00 |         15
 106 | History Lecture Series: Ancient Civilizations              | Attend a lecture series on ancient civilizations.              | 2024-07-05 14:00:00 | 2024-07-05 16:00:00 |         15
  45 | Science Club Social Night                                  | Socialize and discuss science topics.                          | 2024-07-30 19:00:00 | 2024-07-30 22:00:00 |         15
  18 | Art Club Annual Exhibition                                 | Showcase artworks created by club members.                     | 2024-07-30 10:00:00 | 2024-07-30 16:00:00 |         15
  87 | Gaming Tournament: FIFA 2024                               | Compete in a FIFA 2024 tournament.                             | 2024-07-30 16:00:00 | 2024-07-30 20:00:00 |         15
  38 | Costume Design Session                                     | Designing costumes for our next play.                          | 2024-07-25 14:00:00 | 2024-07-25 16:00:00 |         15
  12 | Oil Painting Workshop                                      | Learn oil painting techniques from experts.                    | 2024-07-05 10:00:00 | 2024-07-05 12:00:00 |         15
  39 | Drama Club Social Night                                    | Socialize with fellow drama enthusiasts.                       | 2024-07-30 19:00:00 | 2024-07-30 22:00:00 |         15
  89 | Travel Club Destination Presentation                       | Discover upcoming travel destinations.                         | 2024-07-10 18:00:00 | 2024-07-10 20:00:00 |         15
 110 | History Club Debate: Historical Figures                    | Engage in a debate about prominent historical figures.         | 2024-07-25 17:00:00 | 2024-07-25 19:00:00 |         15
  55 | Math Club Social Night                                     | Socialize and discuss math concepts.                           | 2024-07-20 19:00:00 | 2024-07-20 21:00:00 |         15
  31 | DJ Battle                                                  | Compete in a DJ battle with fellow DJs.                        | 2024-07-12 21:00:00 | 2024-07-13 01:00:00 |         15
  50 | Literature Club Social Mixer                               | Socialize and share literary interests.                        | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 |         15
 130 | Startup Workshop                                           | A workshop on how to start your own business.                  | 2024-07-10 09:00:00 | 2024-07-10 11:00:00 |         15
 122 | Volunteer Club Mentorship Program Launch                   | Launch a mentorship program for underprivileged youth.         | 2024-07-25 16:00:00 | 2024-07-25 18:00:00 |         15
  22 | Fitness Bootcamp                                           | Intensive fitness training sessions.                           | 2024-07-22 07:00:00 | 2024-07-22 16:00:00 |         15
 108 | History Club Book Discussion                               | Discuss and analyze a historical book together.                | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 |         15
 127 | Debate Club International Relations Forum                  | Discuss international relations and diplomacy.                 | 2024-07-20 18:00:00 | 2024-07-20 20:00:00 |         15
  94 | Nature Walk: Forest Exploration                            | Explore the local forest and learn about its ecosystems.       | 2024-07-05 09:00:00 | 2024-07-05 12:00:00 |         15
  98 | Nature Documentary Screening                               | Watch a documentary on wildlife and nature conservation.       | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 |         15
 109 | Historical Film Screening: World War II Documentaries      | Watch documentaries about World War II history.                | 2024-07-20 18:00:00 | 2024-07-20 20:00:00 |         15
 103 | Fitness Club Nutrition Workshop                            | Learn about nutrition and healthy eating habits.               | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 |         15
  49 | Author Spotlight: Shakespeare                              | Exploring the works of William Shakespeare.                    | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 |         15
  11 | Art Exhibition Opening Night                               | Grand opening of our art exhibition.                           | 2024-07-01 18:00:00 | 2024-07-01 21:00:00 |         15
  42 | Physics Experiment Demonstration                           | Demonstrating interesting physics experiments.                 | 2024-07-15 15:00:00 | 2024-07-15 17:00:00 |         15
 118 | Community Cleanup Day                                      | Join in cleaning up local parks and streets.                   | 2024-07-05 09:00:00 | 2024-07-05 12:00:00 |         15
 117 | Film Club Awards Night: Celebrating Cinematic Achievements | Celebrate cinematic achievements with an awards night.         | 2024-07-30 18:00:00 | 2024-07-30 22:00:00 |         15
  88 | Travel Photography Workshop                                | Learn photography techniques for travel photography.           | 2024-07-05 16:00:00 | 2024-07-05 18:00:00 |         15
  82 | Gaming Night: Retro Games                                  | Enjoy classic retro games with fellow gamers.                  | 2024-07-05 18:00:00 | 2024-07-05 21:00:00 |         15
 133 | Guest Speaker: John Doe                                    | A talk by John Doe on entrepreneurial success.                 | 2024-07-31 10:00:00 | 2024-07-31 12:00:00 |         15
 125 | Debate Club Mock Trial: Legal System                       | Participate in a mock trial focusing on legal issues.          | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 |         15
 119 | Volunteer Club Fundraising Gala                            | Attend a gala event to raise funds for charity.                | 2024-07-10 18:00:00 | 2024-07-10 22:00:00 |         15
  40 | Robotics Workshop                                          | Learn robotics basics and build robots.                        | 2024-07-05 10:00:00 | 2024-07-05 12:00:00 |         15
  43 | Chemistry Lab Session                                      | Performing chemistry experiments and demonstrations.           | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 |         15
  97 | Nature Club Camping Trip                                   | Enjoy a camping trip surrounded by nature.                     | 2024-07-20 17:00:00 | 2024-07-22 10:00:00 |         15
 120 | Food Drive Campaign                                        | Collect and distribute food to those in need.                  | 2024-07-15 13:00:00 | 2024-07-15 16:00:00 |         15
  15 | Abstract Art Seminar                                       | Discuss techniques and concepts in abstract art.               | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 |         15
 115 | Film Club Movie Marathon: Genre Exploration                | Experience a movie marathon exploring different film genres.   | 2024-07-20 14:00:00 | 2024-07-20 20:00:00 |         15
  48 | Literary Quiz Competition                                  | Test your knowledge in literature!                             | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 |         15
  26 | Open Mic Night                                             | Showcase your musical talents on stage.                        | 2024-07-15 18:00:00 | 2024-07-15 22:00:00 |         15
  85 | Gaming Marathon: Fortnite Night                            | Join a gaming marathon featuring Fortnite.                     | 2024-07-20 18:00:00 | 2024-07-20 22:00:00 |         15
  92 | Travel Club Film Screening: Travel Documentaries           | Watch inspiring travel documentaries with the club.            | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 |         15
  95 | Nature Photography Expedition                              | Capture stunning nature photographs during this expedition.    | 2024-07-10 14:00:00 | 2024-07-10 17:00:00 |         15
 111 | Historical Site Excursion: Colonial Era                    | Explore local historical sites from the colonial era.          | 2024-07-30 10:00:00 | 2024-07-30 14:00:00 |         15
  81 | Robotics Hackathon                                         | Collaborate and innovate in a robotics hackathon.              | 2024-07-30 15:00:00 | 2024-07-30 19:00:00 |         15
 132 | Business Plan Competition                                  | A competition to present your business plan.                   | 2024-07-24 14:00:00 | 2024-07-24 16:00:00 |         15
  19 | Football Tournament                                        | An inter-club football tournament.                             | 2024-07-05 09:00:00 | 2024-07-07 17:00:00 |         15
 129 | Debate Club Debate Competition Finals                      | Witness the finals of the debate competition.                  | 2024-07-30 15:00:00 | 2024-07-30 18:00:00 |         15
  20 | Basketball Workshop                                        | Learn basketball skills and drills.                            | 2024-07-12 14:00:00 | 2024-07-12 16:00:00 |         15
  21 | Swimming Competition                                       | A swimming competition for club members.                       | 2024-07-18 10:00:00 | 2024-07-18 13:00:00 |         15
 131 | Networking Night                                           | An event to network with business professionals.               | 2024-07-17 18:00:00 | 2024-07-17 20:00:00 |         15
  84 | Gaming Workshop: Game Development Basics                   | Learn the basics of game development.                          | 2024-07-15 17:00:00 | 2024-07-15 19:00:00 |         15
  17 | Watercolor Painting Workshop                               | Learn watercolor painting techniques.                          | 2024-07-12 13:00:00 | 2024-07-12 15:00:00 |         15
  33 | Music Production Masterclass                               | Learn music production techniques.                             | 2024-07-17 16:00:00 | 2024-07-17 18:00:00 |         15
  28 | Music Club Social Mixer                                    | Socialize with other music enthusiasts.                        | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 |         15
 104 | Fitness Club Marathon Training                             | Prepare for a marathon with structured training sessions.      | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 |         15
 116 | Film Club Guest Speaker: Industry Insights                 | Listen to a guest speaker talk about the film industry.        | 2024-07-25 17:00:00 | 2024-07-25 19:00:00 |         15
  56 | Math Puzzle Challenge                                      | Solve challenging math puzzles as a team.                      | 2024-07-25 17:00:00 | 2024-07-25 19:00:00 |         15
  52 | Math Problem Solving Competition                           | Test your math skills in this competition.                     | 2024-07-05 14:00:00 | 2024-07-05 16:00:00 |         15
 126 | Debate Club Policy Debate: Education Reform                | Debate policies related to education reform.                   | 2024-07-15 15:00:00 | 2024-07-15 17:00:00 |         15
(136 rows)
