 eid | cid |                           title                            |                          description                           |          location           |     start_time      |      end_time       |       posted_time       
  18 |   2 | Art Club Annual Exhibition                                 | Showcase artworks created by club members.                     | Exhibition Hall             | 2024-07-30 10:00:00 | 2024-07-30 16:00:00 | 2024-07-08 10:14:33.998
  19 |   3 | Football Tournament                                        | An inter-club football tournament.                             | Sports Complex              | 2024-07-05 09:00:00 | 2024-07-07 17:00:00 | 2024-07-08 10:14:34
  20 |   3 | Basketball Workshop                                        | Learn basketball skills and drills.                            | Indoor Court                | 2024-07-12 14:00:00 | 2024-07-12 16:00:00 | 2024-07-08 10:14:34
  21 |   3 | Swimming Competition                                       | A swimming competition for club members.                       | Pool Area                   | 2024-07-18 10:00:00 | 2024-07-18 13:00:00 | 2024-07-08 10:14:34
  22 |   3 | Fitness Bootcamp                                           | Intensive fitness training sessions.                           | Fitness Center              | 2024-07-22 07:00:00 | 2024-07-22 16:00:00 | 2024-07-08 10:14:34
  23 |   3 | Table Tennis Tournament                                    | Compete in a table tennis championship.                        | Indoor Court                | 2024-07-28 15:00:00 | 2024-07-28 18:00:00 | 2024-07-08 10:14:34
  24 |   4 | Live Concert Night                                         | Enjoy live performances by local artists.                      | Club Stage                  | 2024-07-05 20:00:00 | 2024-07-05 23:00:00 | 2024-07-08 10:14:34.002
  25 |   4 | Music Theory Workshop                                      | Learn music theory basics and notation.                        | Music Room                  | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 | 2024-07-08 10:14:34.002
  26 |   4 | Open Mic Night                                             | Showcase your musical talents on stage.                        | Club Lounge                 | 2024-07-15 18:00:00 | 2024-07-15 22:00:00 | 2024-07-08 10:14:34.002
  27 |   4 | Instrument Jam Session                                     | Play and jam with fellow musicians.                            | Music Room                  | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 | 2024-07-08 10:14:34.002
  28 |   4 | Music Club Social Mixer                                    | Socialize with other music enthusiasts.                        | Club Lounge                 | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 | 2024-07-08 10:14:34.002
  29 |   4 | Songwriting Workshop                                       | Learn the art of songwriting and composition.                  | Music Room                  | 2024-07-08 15:00:00 | 2024-07-08 17:00:00 | 2024-07-08 10:14:34.002
  30 |   4 | Music Club Awards Night                                    | Celebrate achievements and talents in music.                   | Club Lounge                 | 2024-07-30 19:00:00 | 2024-07-30 22:00:00 | 2024-07-08 10:14:34.002
  31 |   4 | DJ Battle                                                  | Compete in a DJ battle with fellow DJs.                        | Club Stage                  | 2024-07-12 21:00:00 | 2024-07-13 01:00:00 | 2024-07-08 10:14:34.002
  32 |   4 | Music Club Annual Showcase                                 | Showcase performances by club members.                         | Club Stage                  | 2024-07-27 18:00:00 | 2024-07-27 22:00:00 | 2024-07-08 10:14:34.002
  33 |   4 | Music Production Masterclass                               | Learn music production techniques.                             | Recording Studio            | 2024-07-17 16:00:00 | 2024-07-17 18:00:00 | 2024-07-08 10:14:34.002
  34 |   5 | Play Rehearsal                                             | Rehearsing for our upcoming drama play.                        | Club Theater                | 2024-07-05 18:00:00 | 2024-07-05 21:00:00 | 2024-07-08 10:14:34.004
  35 |   5 | Scriptwriting Workshop                                     | Learn the art of writing compelling scripts.                   | Club Meeting Room           | 2024-07-10 15:00:00 | 2024-07-10 17:00:00 | 2024-07-08 10:14:34.004
  36 |   5 | Drama Club Talent Show                                     | Showcase your talents on stage!                                | Club Stage                  | 2024-07-15 19:00:00 | 2024-07-15 22:00:00 | 2024-07-08 10:14:34.004
  37 |   5 | Improvisation Workshop                                     | Improve your improvisational acting skills.                    | Club Theater                | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 | 2024-07-08 10:14:34.004
  38 |   5 | Costume Design Session                                     | Designing costumes for our next play.                          | Club Workshop               | 2024-07-25 14:00:00 | 2024-07-25 16:00:00 | 2024-07-08 10:14:34.004
  39 |   5 | Drama Club Social Night                                    | Socialize with fellow drama enthusiasts.                       | Club Lounge                 | 2024-07-30 19:00:00 | 2024-07-30 22:00:00 | 2024-07-08 10:14:34.004
  40 |   6 | Robotics Workshop                                          | Learn robotics basics and build robots.                        | Science Lab                 | 2024-07-05 10:00:00 | 2024-07-05 12:00:00 | 2024-07-08 10:14:34.006
  41 |   6 | Science Fair Preparation                                   | Preparing projects for the upcoming science fair.              | Club Meeting Room           | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 | 2024-07-08 10:14:34.006
  42 |   6 | Physics Experiment Demonstration                           | Demonstrating interesting physics experiments.                 | Science Lab                 | 2024-07-15 15:00:00 | 2024-07-15 17:00:00 | 2024-07-08 10:14:34.006
  43 |   6 | Chemistry Lab Session                                      | Performing chemistry experiments and demonstrations.           | Science Lab                 | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 | 2024-07-08 10:14:34.006
  44 |   6 | Biology Field Trip                                         | Exploring biology in the outdoors.                             | Nature Reserve              | 2024-07-25 09:00:00 | 2024-07-25 15:00:00 | 2024-07-08 10:14:34.006
  45 |   6 | Science Club Social Night                                  | Socialize and discuss science topics.                          | Club Lounge                 | 2024-07-30 19:00:00 | 2024-07-30 22:00:00 | 2024-07-08 10:14:34.006
  46 |   7 | Book Discussion: Classic Literature                        | Discussing classic literature masterpieces.                    | Club Meeting Room           | 2024-07-05 15:00:00 | 2024-07-05 17:00:00 | 2024-07-08 10:14:34.008
  47 |   7 | Poetry Reading Night                                       | Share and enjoy poetry readings.                               | Club Lounge                 | 2024-07-10 19:00:00 | 2024-07-10 21:00:00 | 2024-07-08 10:14:34.008
  48 |   7 | Literary Quiz Competition                                  | Test your knowledge in literature!                             | Club Meeting Room           | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 | 2024-07-08 10:14:34.008
  49 |   7 | Author Spotlight: Shakespeare                              | Exploring the works of William Shakespeare.                    | Club Meeting Room           | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 | 2024-07-08 10:14:34.008
  50 |   7 | Literature Club Social Mixer                               | Socialize and share literary interests.                        | Club Lounge                 | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 | 2024-07-08 10:14:34.008
  51 |   7 | Book Swap Event                                            | Exchange books and discuss favorites.                          | Club Lounge                 | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 | 2024-07-08 10:14:34.008
  52 |   8 | Math Problem Solving Competition                           | Test your math skills in this competition.                     | Club Meeting Room           | 2024-07-05 14:00:00 | 2024-07-05 16:00:00 | 2024-07-08 10:14:34.009
  53 |   8 | Math Workshop: Algebra Basics                              | Learn fundamental algebra concepts.                            | Club Classroom              | 2024-07-10 15:00:00 | 2024-07-10 17:00:00 | 2024-07-08 10:14:34.009
  54 |   8 | Math Olympiad Training Session                             | Prepare for upcoming math competitions.                        | Club Meeting Room           | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 | 2024-07-08 10:14:34.009
  55 |   8 | Math Club Social Night                                     | Socialize and discuss math concepts.                           | Club Lounge                 | 2024-07-20 19:00:00 | 2024-07-20 21:00:00 | 2024-07-08 10:14:34.009
  56 |   8 | Math Puzzle Challenge                                      | Solve challenging math puzzles as a team.                      | Club Meeting Room           | 2024-07-25 17:00:00 | 2024-07-25 19:00:00 | 2024-07-08 10:14:34.009
  57 |   8 | Math Club Seminar: Geometry                                | Explore geometry concepts in-depth.                            | Club Classroom              | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 | 2024-07-08 10:14:34.009
  58 |   9 | Chess Tournament                                           | Compete in a chess tournament.                                 | Club Hall                   | 2024-07-05 14:00:00 | 2024-07-05 18:00:00 | 2024-07-08 10:14:34.011
  59 |   9 | Chess Strategy Workshop                                    | Learn advanced chess strategies.                               | Club Meeting Room           | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 | 2024-07-08 10:14:34.011
  60 |   9 | Chess Club Social Night                                    | Socialize and play chess with fellow members.                  | Club Lounge                 | 2024-07-15 19:00:00 | 2024-07-15 21:00:00 | 2024-07-08 10:14:34.011
  61 |   9 | Chess Puzzle Challenge                                     | Solve challenging chess puzzles.                               | Club Meeting Room           | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 | 2024-07-08 10:14:34.011
  62 |   9 | Chess Simultaneous Exhibition                              | Play against a master in a simultaneous exhibition.            | Club Hall                   | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 | 2024-07-08 10:14:34.011
  63 |   9 | Chess Club Awards Ceremony                                 | Celebrate achievements and milestones.                         | Club Meeting Room           | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 | 2024-07-08 10:14:34.011
  64 |  10 | Healthy Cooking Workshop                                   | Learn to cook nutritious and delicious meals.                  | Club Kitchen                | 2024-07-05 16:00:00 | 2024-07-05 18:00:00 | 2024-07-08 10:14:34.013
  65 |  10 | International Cuisine Night                                | Explore cuisines from around the world.                        | Club Dining Area            | 2024-07-10 18:00:00 | 2024-07-10 20:00:00 | 2024-07-08 10:14:34.013
  66 |  10 | Cooking Competition: Best Dessert                          | Compete for the title of best dessert chef.                    | Club Kitchen                | 2024-07-15 17:00:00 | 2024-07-15 19:00:00 | 2024-07-08 10:14:34.013
  67 |  10 | Farm-to-Table Cooking Workshop                             | Learn to cook using fresh farm ingredients.                    | Club Kitchen                | 2024-07-20 16:00:00 | 2024-07-20 18:00:00 | 2024-07-08 10:14:34.013
  68 |  10 | Cooking Class: Italian Cuisine                             | Master the art of Italian cooking.                             | Club Kitchen                | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 | 2024-07-08 10:14:34.013
  69 |  10 | Cooking Club Potluck                                       | Bring and share your favorite dishes.                          | Club Dining Area            | 2024-07-30 18:00:00 | 2024-07-30 20:00:00 | 2024-07-08 10:14:34.013
  70 |  11 | Photography Exhibition                                     | Showcase your best photographs in this exhibition.             | Club Gallery                | 2024-07-05 15:00:00 | 2024-07-05 17:00:00 | 2024-07-08 10:14:34.015
  71 |  11 | Photography Workshop: Landscape Photography                | Learn techniques for capturing stunning landscapes.            | Club Meeting Room           | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 | 2024-07-08 10:14:34.015
  72 |  11 | Photowalk: City Exploration                                | Capture the essence of the city through photography.           | Club Meeting Point          | 2024-07-15 17:00:00 | 2024-07-15 19:00:00 | 2024-07-08 10:14:34.015
  73 |  11 | Photography Contest: Portrait Photography                  | Compete for the best portrait photograph.                      | Club Meeting Room           | 2024-07-20 18:00:00 | 2024-07-20 20:00:00 | 2024-07-08 10:14:34.015
  74 |  11 | Photography Masterclass: Light and Shadow                  | Learn to play with light and shadow in photography.            | Club Meeting Room           | 2024-07-25 16:00:00 | 2024-07-25 18:00:00 | 2024-07-08 10:14:34.015
  75 |  11 | Photography Club Social Night                              | Socialize and share photography tips.                          | Club Lounge                 | 2024-07-30 19:00:00 | 2024-07-30 21:00:00 | 2024-07-08 10:14:34.015
  76 |  12 | Robotics Workshop: Introduction to Robotics                | Learn the basics of robotics and programming.                  | Club Robotics Lab           | 2024-07-05 14:00:00 | 2024-07-05 16:00:00 | 2024-07-08 10:14:34.017
  77 |  12 | Robotics Competition: Robot Wars                           | Compete in a thrilling robot battle competition.               | Club Arena                  | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 | 2024-07-08 10:14:34.017
  78 |  12 | Robotics Club Project Showcase                             | Present your robotics projects to the club.                    | Club Meeting Room           | 2024-07-15 18:00:00 | 2024-07-15 20:00:00 | 2024-07-08 10:14:34.017
  79 |  12 | Robotics Workshop: Advanced Robotics Techniques            | Explore advanced techniques in robotics.                       | Club Robotics Lab           | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 | 2024-07-08 10:14:34.017
  80 |  12 | Robotics Club Social Night                                 | Socialize and network with fellow robotics enthusiasts.        | Club Lounge                 | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 | 2024-07-08 10:14:34.017
  81 |  12 | Robotics Hackathon                                         | Collaborate and innovate in a robotics hackathon.              | Club Robotics Lab           | 2024-07-30 15:00:00 | 2024-07-30 19:00:00 | 2024-07-08 10:14:34.017
  82 |  13 | Gaming Night: Retro Games                                  | Enjoy classic retro games with fellow gamers.                  | Club Gaming Room            | 2024-07-05 18:00:00 | 2024-07-05 21:00:00 | 2024-07-08 10:14:34.019
  83 |  13 | Esports Tournament: League of Legends                      | Compete in an exciting League of Legends tournament.           | Club Esports Arena          | 2024-07-10 16:00:00 | 2024-07-10 20:00:00 | 2024-07-08 10:14:34.019
  84 |  13 | Gaming Workshop: Game Development Basics                   | Learn the basics of game development.                          | Club Meeting Room           | 2024-07-15 17:00:00 | 2024-07-15 19:00:00 | 2024-07-08 10:14:34.019
  85 |  13 | Gaming Marathon: Fortnite Night                            | Join a gaming marathon featuring Fortnite.                     | Club Gaming Room            | 2024-07-20 18:00:00 | 2024-07-20 22:00:00 | 2024-07-08 10:14:34.019
  86 |  13 | Gaming Club Social: Board Games Night                      | Play board games and socialize with club members.              | Club Lounge                 | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 | 2024-07-08 10:14:34.019
  87 |  13 | Gaming Tournament: FIFA 2024                               | Compete in a FIFA 2024 tournament.                             | Club Esports Arena          | 2024-07-30 16:00:00 | 2024-07-30 20:00:00 | 2024-07-08 10:14:34.019
  88 |  14 | Travel Photography Workshop                                | Learn photography techniques for travel photography.           | Club Meeting Room           | 2024-07-05 16:00:00 | 2024-07-05 18:00:00 | 2024-07-08 10:14:34.02
  89 |  14 | Travel Club Destination Presentation                       | Discover upcoming travel destinations.                         | Club Meeting Room           | 2024-07-10 18:00:00 | 2024-07-10 20:00:00 | 2024-07-08 10:14:34.02
  90 |  14 | Travel Club Social: Travel Stories Night                   | Share and listen to travel stories from club members.          | Club Lounge                 | 2024-07-15 19:00:00 | 2024-07-15 21:00:00 | 2024-07-08 10:14:34.02
  91 |  14 | Travel Club Workshop: Sustainable Travel Practices         | Learn about sustainable travel practices.                      | Club Meeting Room           | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 | 2024-07-08 10:14:34.02
  92 |  14 | Travel Club Film Screening: Travel Documentaries           | Watch inspiring travel documentaries with the club.            | Club Lounge                 | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 | 2024-07-08 10:14:34.02
  93 |  14 | Travel Club Adventure Planning                             | Plan upcoming adventure trips with the club.                   | Club Meeting Room           | 2024-07-30 16:00:00 | 2024-07-30 18:00:00 | 2024-07-08 10:14:34.02
  94 |  15 | Nature Walk: Forest Exploration                            | Explore the local forest and learn about its ecosystems.       | Local Forest Reserve        | 2024-07-05 09:00:00 | 2024-07-05 12:00:00 | 2024-07-08 10:14:34.022
  95 |  15 | Nature Photography Expedition                              | Capture stunning nature photographs during this expedition.    | Nature Reserve              | 2024-07-10 14:00:00 | 2024-07-10 17:00:00 | 2024-07-08 10:14:34.022
  96 |  15 | Nature Conservation Seminar                                | Attend a seminar on conservation and environmental protection. | Club Meeting Room           | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 | 2024-07-08 10:14:34.022
  97 |  15 | Nature Club Camping Trip                                   | Enjoy a camping trip surrounded by nature.                     | Campground                  | 2024-07-20 17:00:00 | 2024-07-22 10:00:00 | 2024-07-08 10:14:34.022
  98 |  15 | Nature Documentary Screening                               | Watch a documentary on wildlife and nature conservation.       | Club Lounge                 | 2024-07-25 19:00:00 | 2024-07-25 21:00:00 | 2024-07-08 10:14:34.022
  99 |  15 | Nature Club Bird Watching Tour                             | Join a bird watching tour with experienced guides.             | Bird Sanctuary              | 2024-07-30 08:00:00 | 2024-07-30 11:00:00 | 2024-07-08 10:14:34.022
 100 |  16 | Fitness Bootcamp                                           | Join an intense fitness bootcamp session.                      | Club Fitness Center         | 2024-07-05 18:00:00 | 2024-07-05 20:00:00 | 2024-07-08 10:14:34.024
 101 |  16 | Yoga and Meditation Workshop                               | Practice yoga and meditation techniques for relaxation.        | Club Yoga Studio            | 2024-07-10 16:00:00 | 2024-07-10 18:00:00 | 2024-07-08 10:14:34.024
 102 |  16 | Fitness Club Hiking Trip                                   | Embark on a scenic hiking trip with club members.              | Hiking Trail                | 2024-07-15 07:00:00 | 2024-07-15 12:00:00 | 2024-07-08 10:14:34.024
 103 |  16 | Fitness Club Nutrition Workshop                            | Learn about nutrition and healthy eating habits.               | Club Meeting Room           | 2024-07-20 17:00:00 | 2024-07-20 19:00:00 | 2024-07-08 10:14:34.024
 104 |  16 | Fitness Club Marathon Training                             | Prepare for a marathon with structured training sessions.      | Club Fitness Center         | 2024-07-25 18:00:00 | 2024-07-25 20:00:00 | 2024-07-08 10:14:34.024
 105 |  16 | Fitness Club Zumba Party                                   | Dance and exercise with high-energy Zumba routines.            | Club Dance Studio           | 2024-07-30 19:00:00 | 2024-07-30 21:00:00 | 2024-07-08 10:14:34.024
 106 |  17 | History Lecture Series: Ancient Civilizations              | Attend a lecture series on ancient civilizations.              | Club Lecture Hall           | 2024-07-05 14:00:00 | 2024-07-05 16:00:00 | 2024-07-08 10:14:34.026
 107 |  17 | Historical Museum Visit                                    | Visit a local historical museum with the club.                 | Local Museum                | 2024-07-10 11:00:00 | 2024-07-10 14:00:00 | 2024-07-08 10:14:34.026
 108 |  17 | History Club Book Discussion                               | Discuss and analyze a historical book together.                | Club Meeting Room           | 2024-07-15 16:00:00 | 2024-07-15 18:00:00 | 2024-07-08 10:14:34.026
 109 |  17 | Historical Film Screening: World War II Documentaries      | Watch documentaries about World War II history.                | Club Lounge                 | 2024-07-20 18:00:00 | 2024-07-20 20:00:00 | 2024-07-08 10:14:34.026
 110 |  17 | History Club Debate: Historical Figures                    | Engage in a debate about prominent historical figures.         | Club Debate Hall            | 2024-07-25 17:00:00 | 2024-07-25 19:00:00 | 2024-07-08 10:14:34.026
 111 |  17 | Historical Site Excursion: Colonial Era                    | Explore local historical sites from the colonial era.          | Historical Site             | 2024-07-30 10:00:00 | 2024-07-30 14:00:00 | 2024-07-08 10:14:34.026
 112 |  18 | Film Screening: Classic Movies Night                       | Enjoy classic movies from different eras.                      | Club Theater                | 2024-07-05 19:00:00 | 2024-07-05 22:00:00 | 2024-07-08 10:14:34.028
 113 |  18 | Film Club Discussion: Contemporary Cinema Trends           | Discuss current trends in contemporary cinema.                 | Club Lounge                 | 2024-07-10 17:00:00 | 2024-07-10 19:00:00 | 2024-07-08 10:14:34.028
 114 |  18 | Film Club Documentary Screening: Behind the Scenes         | Watch behind-the-scenes documentaries of famous films.         | Club Meeting Room           | 2024-07-15 18:00:00 | 2024-07-15 20:00:00 | 2024-07-08 10:14:34.028
 115 |  18 | Film Club Movie Marathon: Genre Exploration                | Experience a movie marathon exploring different film genres.   | Club Theater                | 2024-07-20 14:00:00 | 2024-07-20 20:00:00 | 2024-07-08 10:14:34.028
 116 |  18 | Film Club Guest Speaker: Industry Insights                 | Listen to a guest speaker talk about the film industry.        | Club Auditorium             | 2024-07-25 17:00:00 | 2024-07-25 19:00:00 | 2024-07-08 10:14:34.028
 117 |  18 | Film Club Awards Night: Celebrating Cinematic Achievements | Celebrate cinematic achievements with an awards night.         | Club Banquet Hall           | 2024-07-30 18:00:00 | 2024-07-30 22:00:00 | 2024-07-08 10:14:34.028
 118 |  19 | Community Cleanup Day                                      | Join in cleaning up local parks and streets.                   | Various Locations           | 2024-07-05 09:00:00 | 2024-07-05 12:00:00 | 2024-07-08 10:14:34.03
 119 |  19 | Volunteer Club Fundraising Gala                            | Attend a gala event to raise funds for charity.                | Community Center            | 2024-07-10 18:00:00 | 2024-07-10 22:00:00 | 2024-07-08 10:14:34.03
 120 |  19 | Food Drive Campaign                                        | Collect and distribute food to those in need.                  | Volunteer Club Headquarters | 2024-07-15 13:00:00 | 2024-07-15 16:00:00 | 2024-07-08 10:14:34.03
 121 |  19 | Volunteer Club Blood Donation Drive                        | Participate in a blood donation drive for hospitals.           | Local Blood Donation Center | 2024-07-20 10:00:00 | 2024-07-20 14:00:00 | 2024-07-08 10:14:34.03
 122 |  19 | Volunteer Club Mentorship Program Launch                   | Launch a mentorship program for underprivileged youth.         | Community Center            | 2024-07-25 16:00:00 | 2024-07-25 18:00:00 | 2024-07-08 10:14:34.03
 123 |  19 | Volunteer Club Awareness Campaign                          | Organize an awareness campaign for social issues.              | Public Spaces               | 2024-07-30 12:00:00 | 2024-07-30 15:00:00 | 2024-07-08 10:14:34.03
 124 |  20 | Debate Club Current Affairs Debate                         | Engage in a debate on current political affairs.               | Club Debate Hall            | 2024-07-05 17:00:00 | 2024-07-05 19:00:00 | 2024-07-08 10:14:34.032
 125 |  20 | Debate Club Mock Trial: Legal System                       | Participate in a mock trial focusing on legal issues.          | Courtroom Simulation        | 2024-07-10 14:00:00 | 2024-07-10 16:00:00 | 2024-07-08 10:14:34.032
 126 |  20 | Debate Club Policy Debate: Education Reform                | Debate policies related to education reform.                   | Club Meeting Room           | 2024-07-15 15:00:00 | 2024-07-15 17:00:00 | 2024-07-08 10:14:34.032
 127 |  20 | Debate Club International Relations Forum                  | Discuss international relations and diplomacy.                 | Club Lounge                 | 2024-07-20 18:00:00 | 2024-07-20 20:00:00 | 2024-07-08 10:14:34.032
 128 |  20 | Debate Club Public Speaking Workshop                       | Attend a workshop to improve public speaking skills.           | Club Auditorium             | 2024-07-25 16:00:00 | 2024-07-25 18:00:00 | 2024-07-08 10:14:34.032
 129 |  20 | Debate Club Debate Competition Finals                      | Witness the finals of the debate competition.                  | Club Debate Hall            | 2024-07-30 15:00:00 | 2024-07-30 18:00:00 | 2024-07-08 10:14:34.032
 130 |  21 | Startup Workshop                                           | A workshop on how to start your own business.                  | Business Hall A             | 2024-07-10 09:00:00 | 2024-07-10 11:00:00 | 2024-07-08 10:14:34.033
 131 |  21 | Networking Night                                           | An event to network with business professionals.               | Business Hall B             | 2024-07-17 18:00:00 | 2024-07-17 20:00:00 | 2024-07-08 10:14:34.033
 132 |  21 | Business Plan Competition                                  | A competition to present your business plan.                   | Business Hall C             | 2024-07-24 14:00:00 | 2024-07-24 16:00:00 | 2024-07-08 10:14:34.033
 133 |  21 | Guest Speaker: John Doe                                    | A talk by John Doe on entrepreneurial success.                 | Business Hall D             | 2024-07-31 10:00:00 | 2024-07-31 12:00:00 | 2024-07-08 10:14:34.033
 134 |  21 | Marketing Strategies Workshop                              | A workshop on effective marketing strategies.                  | Business Hall E             | 2024-08-07 13:00:00 | 2024-08-07 15:00:00 | 2024-07-08 10:14:34.033
 135 |  21 | Finance for Startups                                       | A session on managing finances for startups.                   | Business Hall F             | 2024-08-14 11:00:00 | 2024-08-14 13:00:00 | 2024-07-08 10:14:34.033
 136 |  21 | Pitching Your Idea                                         | A workshop on how to pitch your business idea.                 | Business Hall G             | 2024-08-21 15:00:00 | 2024-08-21 17:00:00 | 2024-07-08 10:14:34.033
(135 rows)
